                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72562,                0.55435,                 1.1566,                0.92049,                0.81683,                0.91388,                0.72731,                0.78866,                0.59642,                 1.2555,               0.006634,               0.006634,               0.006634
                     36,                0.71073,                0.54559,                 1.1414,                0.90637,                0.84158,                0.92231,                0.72757,                 0.8085,                0.56091,                 1.2668,               0.006535,               0.006535,               0.006535
                     37,                 0.7133,                0.54364,                 1.1565,                0.92444,                0.82775,                0.92436,                0.73699,                0.78937,                0.59123,                 1.2746,               0.006436,               0.006436,               0.006436
                     38,                0.69575,                0.53697,                 1.1438,                 0.9095,                0.81353,                0.89825,                 0.7154,                0.82376,                0.61335,                 1.3154,               0.006337,               0.006337,               0.006337
                     39,                0.71565,                 0.5434,                 1.1526,                0.91976,                0.85149,                  0.922,                0.72305,                0.80838,                0.57604,                 1.2765,               0.006238,               0.006238,               0.006238
                     40,                0.69261,                0.52901,                   1.14,                0.91405,                0.81848,                0.90412,                0.72046,                0.83759,                0.64319,                 1.2712,               0.006139,               0.006139,               0.006139
                     41,                0.69984,                0.52581,                 1.1304,                0.88601,                0.82673,                0.91119,                0.71996,                0.81232,                0.64031,                 1.2796,                0.00604,                0.00604,                0.00604
                     42,                0.68669,                0.51955,                 1.1363,                0.90838,                0.85077,                0.91844,                0.73497,                0.80492,                0.58284,                  1.258,               0.005941,               0.005941,               0.005941
                     43,                0.68699,                 0.5193,                 1.1285,                0.88749,                0.84818,                0.91776,                0.72313,                0.81005,                0.58248,                 1.2762,               0.005842,               0.005842,               0.005842
                     44,                0.67886,                0.51199,                 1.1242,                0.90252,                0.83003,                0.91427,                0.73335,                0.79638,                0.58579,                 1.2677,               0.005743,               0.005743,               0.005743
                     45,                0.67199,                0.50412,                 1.1225,                0.92165,                0.81529,                0.91892,                0.73126,                 0.8045,                0.57526,                 1.2843,               0.005644,               0.005644,               0.005644
                     46,                0.66998,                0.50394,                   1.12,                0.90693,                0.85479,                0.92132,                0.73539,                0.79789,                0.57605,                 1.2443,               0.005545,               0.005545,               0.005545
                     47,                  0.678,                0.50118,                 1.1258,                 0.9084,                0.84158,                0.92371,                0.73959,                 0.7752,                0.55098,                 1.2368,               0.005446,               0.005446,               0.005446
                     48,                0.67646,                0.49968,                 1.1249,                0.93398,                  0.817,                0.91718,                0.73699,                0.79629,                0.56916,                 1.2576,               0.005347,               0.005347,               0.005347
                     49,                0.65294,                0.48999,                 1.1115,                 0.9193,                0.84589,                0.92258,                0.73806,                0.80049,                 0.5761,                 1.2707,               0.005248,               0.005248,               0.005248
                     50,                0.65826,                0.49208,                 1.1202,                0.93442,                0.84638,                0.92314,                0.73966,                0.78089,                0.55347,                 1.2459,               0.005149,               0.005149,               0.005149
                     51,                0.64764,                0.48004,                 1.1066,                0.91645,                0.83498,                0.92131,                 0.7348,                 0.7906,                0.57761,                 1.2561,                0.00505,                0.00505,                0.00505
                     52,                0.64468,                0.47738,                 1.1072,                0.93077,                0.82508,                 0.9197,                0.74498,                0.75794,                0.57999,                 1.2186,               0.004951,               0.004951,               0.004951
                     53,                0.65605,                0.48827,                 1.1069,                0.88509,                0.83168,                0.90835,                0.72966,                0.79583,                 0.5857,                 1.2441,               0.004852,               0.004852,               0.004852
                     54,                0.64052,                0.47481,                 1.1077,                0.92419,                0.84487,                0.92795,                0.74648,                0.77441,                0.54187,                 1.2383,               0.004753,               0.004753,               0.004753
                     55,                0.63944,                0.47612,                 1.1037,                0.91641,                0.83498,                0.91769,                 0.7416,                0.77684,                0.58486,                 1.2532,               0.004654,               0.004654,               0.004654
                     56,                0.63435,                0.47695,                 1.0979,                0.89431,                0.83781,                0.91663,                 0.7463,                0.75174,                0.56281,                   1.22,               0.004555,               0.004555,               0.004555
                     57,                0.63264,                0.47178,                  1.094,                0.91014,                0.86634,                0.92739,                0.75942,                0.74525,                0.55727,                 1.2096,               0.004456,               0.004456,               0.004456
